lean,asymmetry,right_angle,left_angle,force_right,force_left,force_diff,label,angle_diff
6.45,7.08,155.04,162.12,1,1,1,Standing,
6.3,3.41,153.9,157.31,1,1,1,Standing,-2.974999999999966
6.17,0.19,147.78,147.59,1,1,1,Standing,-4.495000000000033
5.99,0.9,146.41,145.51,1,1,1,Standing,-1.6149999999999807
6.15,1.81,146.82,148.62,1,1,1,Standing,-1.4040000000000248
6.27,3.87,148.57,152.44,1,1,1,Standing,-0.22999999999996135
6.64,3.93,146.62,150.55,1,1,1,Standing,-0.717000000000013
6.86,1.91,145.58,147.49,1,1,1,Standing,-0.617999999999995
6.89,0.94,141.91,142.84,1,1,1,Descending,-1.2630000000000052
6.86,0.14,144.7,144.56,1,1,1,Descending,-0.4509999999999934
6.71,0.52,143.93,144.45,1,1,1,Ascending,0.14699999999999136
6.68,3.94,144.36,148.3,1,1,1,Standing,1.2129999999999939
6.73,5.46,144.54,150.0,1,1,1,Standing,0.856000000000023
6.75,5.14,145.87,151.01,1,1,1,Standing,0.7819999999999823
6.78,7.0,145.41,152.41,1,1,1,Standing,0.055999999999983174
6.74,5.04,145.58,150.62,1,1,1,Standing,-0.3129999999999882
6.74,3.76,144.73,148.49,1,1,1,Standing,-0.7090000000000032
6.82,1.91,144.75,146.66,1,1,1,Standing,0.6419999999999959
6.77,1.15,145.47,144.32,1,1,1,Ascending,0.4549999999999841
6.78,1.14,151.55,152.69,1,1,1,Standing,1.4490000000000407
6.94,3.23,148.76,151.99,1,1,1,Standing,0.6869999999999834
6.96,4.69,151.51,156.2,1,1,1,Standing,1.6469999999999914
6.66,6.1,146.09,152.19,1,1,1,Standing,-0.3049999999999784
6.08,6.54,149.86,156.4,1,1,1,Standing,1.6989999999999839
5.69,11.07,145.06,156.13,1,1,1,Standing,1.1559999999999775
5.11,9.86,153.94,163.8,1,1,1,Standing,2.2660000000000196
5.16,13.44,152.92,166.35,1,1,1,Standing,1.2249999999999943
5.11,12.75,154.1,166.84,1,1,1,Standing,2.448000000000036
5.47,13.74,152.39,166.12,1,1,1,Standing,-0.3930000000000291
5.45,16.24,154.72,170.95,1,1,1,Uneven_Weight,-1.342000000000013
5.38,9.93,151.94,161.87,1,1,1,Standing,-4.868999999999971
5.57,24.11,140.87,164.98,1,1,1,Uneven_Weight,-7.209000000000003
5.76,18.93,126.66,145.59,1,1,1,Uneven_Weight,-7.785000000000025
6.02,21.16,112.63,133.79,1,1,1,Uneven_Weight,-9.47599999999997
6.15,13.7,117.06,130.76,1,1,1,Descending,-13.454000000000022
6.33,13.41,102.82,116.23,1,1,1,Descending,-12.36399999999999
6.38,8.27,81.52,89.79,1,1,1,At_Bottom,-9.745000000000005
6.57,2.99,72.81,75.8,1,1,1,At_Bottom,-11.074999999999989
6.48,5.74,71.62,77.35,1,1,1,At_Bottom,-8.156000000000006
6.56,2.43,67.32,69.75,1,1,1,At_Bottom,-2.899000000000001
6.65,1.35,68.07,69.42,1,1,1,At_Bottom,-0.4370000000000118
6.77,2.88,69.72,72.6,1,1,1,At_Bottom,-0.6829999999999927
6.82,5.08,69.58,74.66,1,1,1,At_Bottom,0.5190000000000055
6.95,5.38,68.38,73.76,1,1,1,At_Bottom,0.35599999999999454
6.93,3.66,69.3,72.96,1,1,1,At_Bottom,0.28000000000001535
6.95,2.69,69.18,71.87,1,1,1,At_Bottom,-0.051000000000016144
7.1,3.52,70.8,74.32,1,1,1,At_Bottom,0.8630000000000138
6.96,4.76,69.49,74.24,1,1,1,At_Bottom,3.1440000000000055
6.93,6.19,72.29,78.48,1,1,1,At_Bottom,6.467999999999989
6.58,13.86,79.92,93.78,1,1,1,At_Bottom,10.271999999999991
6.47,27.16,89.28,116.45,1,1,1,Uneven_Weight,15.305999999999997
6.33,34.94,106.45,141.39,1,1,1,Uneven_Weight,15.701000000000008
6.05,15.19,140.8,155.99,1,1,1,Uneven_Weight,13.322000000000003
6.11,0.76,153.51,154.27,1,1,1,Standing,9.785999999999973
6.51,1.16,152.88,154.04,1,1,1,Standing,4.378000000000043
6.41,1.49,152.54,151.05,1,1,1,Standing,-1.0510000000000161
6.54,0.09,145.86,145.76,1,1,1,Standing,-1.4710000000000036
6.42,1.49,142.39,143.89,1,1,1,Descending,-0.24399999999999977
6.42,0.72,146.17,146.9,1,1,1,Standing,0.15300000000002
6.47,1.62,151.43,153.05,1,1,1,Standing,1.6019999999999754
6.49,4.6,150.26,154.86,1,1,1,Standing,1.9300000000000068
6.66,5.0,151.32,156.32,1,1,1,Standing,1.4809999999999945
6.83,5.14,150.22,155.36,1,1,1,Standing,-0.4049999999999727
6.81,4.52,151.68,156.2,1,1,1,Standing,-0.3240000000000123
6.82,9.39,145.52,154.91,1,1,1,Standing,-0.6910000000000025
6.74,7.5,147.19,154.69,1,1,1,Standing,-0.33099999999998886
6.68,6.47,147.13,153.6,1,1,1,Standing,-0.16300000000001091
6.71,2.85,149.71,152.56,1,1,1,Standing,1.5989999999999895
6.66,5.35,150.45,155.8,1,1,1,Standing,1.7700000000000102
6.57,3.42,156.5,159.92,1,1,1,Standing,1.6820000000000164
6.91,5.72,156.93,162.65,1,1,1,Standing,-0.9039999999999964
7.17,5.37,156.09,161.46,1,1,1,Standing,-0.21999999999999886
7.26,15.35,138.94,154.29,1,1,1,Uneven_Weight,-0.6110000000000184
7.17,20.87,141.59,162.46,1,1,1,Uneven_Weight,-0.6339999999999861
6.78,13.41,148.45,161.86,1,1,1,Standing,-1.0230000000000246
6.44,16.92,148.16,165.08,1,1,1,Uneven_Weight,-8.990000000000009
6.43,15.08,146.12,161.2,1,1,1,Uneven_Weight,-5.524999999999977
6.4,9.83,96.75,106.58,1,1,1,Descending,-7.717000000000013
6.29,9.55,119.62,129.18,1,1,1,Descending,-7.51700000000001
6.11,10.82,111.16,121.98,1,1,1,Descending,-6.685999999999993
6.14,1.53,118.27,119.8,1,1,1,Descending,-1.3660000000000139
6.2,13.16,113.65,126.81,1,1,1,Descending,-8.827999999999975
6.25,8.75,90.46,99.21,1,1,1,Descending,-8.576000000000022
6.44,2.58,78.97,81.55,1,1,1,At_Bottom,-10.537999999999982
6.97,1.74,72.82,74.56,1,1,1,At_Bottom,-10.951000000000008
6.89,1.93,67.31,65.38,1,1,1,At_Bottom,-5.918999999999997
7.22,2.6,66.78,64.17,1,1,1,At_Bottom,-2.608000000000004
7.43,3.11,66.8,63.68,1,1,1,At_Bottom,-0.0519999999999925
7.55,2.55,68.5,65.94,1,1,1,At_Bottom,0.5600000000000023
7.59,1.08,73.97,72.89,1,1,1,At_Bottom,0.6329999999999956
7.88,0.27,69.28,69.01,1,1,1,At_Bottom,1.0400000000000063
8.01,0.1,68.59,68.69,1,1,1,At_Bottom,0.4579999999999984
8.06,1.5,71.19,69.69,1,1,1,At_Bottom,3.7040000000000077
7.79,0.83,69.09,69.93,1,1,1,At_Bottom,8.60199999999999
7.53,6.18,88.86,95.04,1,1,1,Ascending,10.058999999999997
7.61,11.69,106.31,118.0,1,1,1,Ascending,12.794000000000011
7.64,22.52,107.68,130.19,1,1,1,Uneven_Weight,16.254999999999995
7.14,12.02,128.4,140.42,1,1,1,Ascending,12.948999999999998
6.95,1.18,150.2,151.37,1,1,1,Standing,9.206999999999994
7.01,3.61,158.5,154.89,1,1,1,Standing,5.742999999999995
6.72,1.53,158.96,157.42,1,1,1,Standing,2.298000000000002
6.68,0.76,148.03,147.27,1,1,1,Standing,0.4339999999999975
6.57,0.9,146.35,145.45,1,1,1,Standing,-0.6599999999999966
6.86,2.53,151.69,154.22,1,1,1,Standing,-2.3170000000000073
7.09,3.4,151.7,155.09,1,1,1,Standing,-0.44299999999998363
7.19,1.65,147.43,145.78,1,1,1,Standing,-0.014999999999986358
7.35,0.56,145.15,145.72,1,1,1,Standing,-1.2940000000000111
7.31,2.89,144.38,147.27,1,1,1,Standing,-0.5759999999999934
7.26,3.07,144.95,148.02,1,1,1,Standing,0.9099999999999682
7.11,0.12,150.46,150.57,1,1,1,Standing,1.0780000000000314
7.25,3.62,149.34,152.97,1,1,1,Standing,0.9060000000000059
7.43,3.01,149.32,152.33,1,1,1,Standing,0.9639999999999702
7.67,3.17,148.77,151.94,1,1,1,Standing,0.08299999999999841
7.69,3.79,149.41,153.2,1,1,1,Standing,0.10600000000002296
7.62,3.26,149.3,152.56,1,1,1,Standing,0.7529999999999859
7.7,2.61,150.38,152.99,1,1,1,Standing,1.5730000000000075
7.66,2.4,153.39,155.79,1,1,1,Standing,1.3489999999999895
7.71,0.65,157.89,158.55,1,1,1,Standing,2.2690000000000055
7.75,1.8,157.15,158.95,1,1,1,Standing,2.6229999999999905
7.83,6.69,165.62,158.93,1,1,1,Standing,1.9800000000000182
7.39,1.66,165.63,163.97,1,1,1,Standing,2.848000000000013
6.97,4.34,162.32,166.66,1,1,1,Standing,0.9119999999999777
6.93,3.02,173.97,170.95,1,1,1,Standing,-1.738999999999976
6.75,5.29,159.96,165.26,1,1,1,Standing,-1.8880000000000337
6.6,0.04,153.56,153.6,1,1,1,Standing,-1.7229999999999848
6.48,2.84,156.78,153.94,1,1,1,Standing,-3.6670000000000016
6.42,0.22,155.98,155.77,1,1,1,Standing,-5.015999999999991
6.38,5.4,151.43,156.82,1,1,1,Standing,-10.205000000000013
